Hotel Name,Location,Room Type,Price Per Night (INR),Amenities,Availability,Booking ID,Guest Name,Check-in Date,Check-out Date,Booking Status
The Leela Palace New Delhi,new delhi,deluxe room,15000,"Wi-Fi, Spa, Pool, Gym",available,,,,,
The Leela Palace New Delhi,new delhi,premier room,18000,"Wi-Fi, Spa, Pool, Gym",available,,,,,
The Leela Palace New Delhi,new delhi,grand suite,25000,"Wi-Fi, Butler Service, Jacuzzi",available,,,,,
The Leela Palace Bengaluru,bengaluru,deluxe room,14000,"Wi-Fi, Pool, Gym",available,,,,,
The Leela Palace Bengaluru,bengaluru,premier room,17000,"Wi-Fi, Spa, Pool, Gym",available,,,,,
The Leela Palace Bengaluru,bengaluru,presidential suite,50000,"Private Pool, Butler Service",available,13a367b3,tamilselvam,2025-03-01,2025-03-05,Confirmed
The Leela Palace Udaipur,udaipur,heritage room,16000,"Lake View, Wi-Fi, Spa",available,,,,,
The Leela Palace Udaipur,udaipur,grand heritage suite,30000,"Lake View, Butler Service",available,,,,,
The Leela Palace Udaipur,udaipur,maharaja suite,55000,"Private Pool, Jacuzzi",available,,,,,
The Leela Palace Udaipur,udaipur,premier room,25000," Wi-Fi, Spa",available,,,,,
The Leela Palace Udaipur,udaipur,deluxe room,16000, Butler Service,available,,,,,
The Leela Palace Chennai,chennai,deluxe sea view room,20000,"Sea View, Wi-Fi, Pool",available,6027b7ef,sk,2025-08-10,2025-08-13,Confirmed
The Leela Palace Chennai,chennai,premier ocean suite,30000,"Sea View, Butler Service",available,,,,,
The Leela Palace Chennai,chennai,presidential suite,45000,"Private Pool, Butler Service",available,0d80ffce,tamil,2025-03-01,2025-03-05,Confirmed
The Leela Palace Chennai,chennai,deluxe room,17000,"Wi-Fi, Spa, Pool",available,d06f23f5,sk,2025-09-12,2025-09-15,Confirmed
The Leela Palace Chennai,chennai,premier suite,25000,"Wi-Fi, Spa, Butler Service",available,,,,,
The Leela Palace Mumbai,mumbai,deluxe room,16000,"Wi-Fi, Spa, Gym",available,,,,,
The Leela Palace Mumbai,mumbai,premier suite,28000,"Wi-Fi, Butler Service",available,,,,,
The Leela Palace Mumbai,mumbai,maharaja suite,60000,"Private Pool, Spa, Butler Service",available,,,,,
The Leela Palace Mumbai,mumbai,deluxe city view,20000,"Wi-Fi, Spa, Gym",available,,,,,
The Leela Palace Mumbai,mumbai,premier city suite,32000,"Wi-Fi, Butler Service",available,,,,,
The Leela Palace Goa,goa,deluxe room,15000,"Wi-Fi, Beachfront",available,,,,,
The Leela Palace Goa,goa,royal villa,30000,"Private Pool, Butler Service",available,,,,,
The Leela Palace Goa,goa,sea view cottage,19000,"Wi-Fi, Beachfront",available,,,,,
The Leela Palace Goa,goa,grand royal villa,35000,"Private Pool, Butler Service",available,,,,,
The Leela Palace Goa,goa,beachfront room,18000,"Wi-Fi, Beachfront",available,,,,,
The Leela Palace Jaipur,jaipur,premier heritage room,20000,"Wi-Fi, Spa, Pool",available,,,,,
The Leela Palace Jaipur,jaipur,royal suite,30000,"Butler Service, Private Garden",available,,,,,
The Leela Palace Jaipur,jaipur,royal maharaja suite,65000,"Private Pool, Jacuzzi",available,,,,,
The Leela Palace Jaipur,jaipur,heritage room,15000,"Wi-Fi, Spa, Pool",available,,,,,
The Leela Palace Jaipur,jaipur,grand royal suite,35000,"Butler Service, Private Garden",available,,,,,
The Leela Palace Kovalam,kovalam,beachfront room,18000,"Wi-Fi, Ocean View",available,,,,,
The Leela Palace Kovalam,kovalam,presidential suite,40000,"Private Pool, Butler Service",available,,,,,
The Leela Palace Kovalam,kovalam,deluxe room,14000,"Wi-Fi, Spa, Pool",available,2025-03-01,2025-03-05,2025-03-01,2025-03-05,Confirmed
The Leela Palace Kovalam,kovalam,premier room,25000,"Private Pool, Butler Service",available,,,,,
The Leela Palace Kovalam,kovalam,grand suite,50000,"Private Pool, Butler Service",available,,,,,
The Leela Palace Hyderabad,hyderabad,deluxe room,15000,"Wi-Fi, Spa, Pool",available,,,,,
The Leela Palace Hyderabad,hyderabad,premier suite,27000,"Butler Service, Wi-Fi",available,,,,,
The Leela Palace Hyderabad,hyderabad,presidential suite,50000,Private Pool,available,,,,,
The Leela Palace Gurugram,gurugram,deluxe business room,14000,"Wi-Fi, Business Lounge",available,,,,,
The Leela Palace Gurugram,gurugram,executive suite,25000,"Wi-Fi, Business Lounge",available,,,,,
The Leela Palace Gurugram,gurugram,presidential suite,47000,Private Pool,available,,,,,
The Leela Palace Agra,agra,taj view room,23000,"Taj View, Wi-Fi, Pool",available,,,,,
The Leela Palace Agra,agra,grand mughal suite,32000,"Butler Service, Private Garden",available,,,,,
The Leela Palace Agra,agra,royal mughal suite,60000,Private Pool,available,,,,,
The Leela Palace Agra,agra,deluxe room,15000,"Wi-Fi, Spa, Pool",available,,,,,
The Leela Palace Agra,agra,premier suite,27000,"Butler Service, Wi-Fi",available,,,,,
The Leela Palace Kolkata,kolkata,deluxe room,15000,"Wi-Fi, Spa, Pool",available,,,,,
The Leela Palace Kolkata,kolkata,premier suite,27000,"Butler Service, Wi-Fi",available,,,,,
The Leela Palace Kolkata,kolkata,deluxe business room,14000,"Wi-Fi, Business Lounge",available,,,,,
The Leela Palace Kolkata,kolkata,executive suite,25000,"Wi-Fi, Business Lounge",available,,,,,
